Sentences_Chinese,Sentence_Cantonese,label,emo_class
寒風呼嘯的深夜，我不知道你是否聽得到，那花牆內的古箏，聲聲纏綿，絲絲入扣，那是我的傾訴，是我不忍捨棄、不可磨滅的相思之愁。,寒風呼嘯的深夜，我不知道你是否聽得到，那花牆內的古箏，聲聲纏綿，絲絲入扣，那是我的傾訴，是我不忍捨棄、不可磨滅的相思之愁。,1,Sad
或許你看不到伊人就站在不遠處，在你的花牆下、你的書卷裡。,或許你看不到伊人就站在不遠處，在你的花牆下、你的書卷裡。,1,Sad
那距離很近很近，可你卻沒有絲毫的感受。,那距離很近很近，可你卻沒有絲毫的感受。,1,Sad
你聽不到她的低語裡，串起了多少酸楚的淚滴。,你聽不到她的低語裡，串起了多少酸楚的淚滴。,1,Sad
往事悠悠，你還記得她那飛過你的窗臺看住你的眼神裡，寫進了多少的無奈嗎？,往事悠悠，你還記得她那飛過你的窗臺看住你的眼神裡，寫進了多少的無奈嗎？,1,Sad
花開花落。,花開花落。,1,Sad
看清風送客，幾許愁緒，幾許淡雅，來去無由。,看清風送客，幾許愁緒，幾許淡雅，來去無由。,1,Sad
幾度春秋，抹去了幾多記憶。,幾度春秋，抹去了幾多記憶。,1,Sad
然而，收穫到最多的卻是你那無止休的歎息，視線裡也只留下你淒長悲傷的剪影……,然而，收穫到最多的卻是你那無止休的歎息，視線裡也只留下你淒長悲傷的剪影……,1,Sad
夜深沉、深幾許。,夜深沉、深幾許。,1,Sad
你孤單的身影徘徊在雪白的月華裡，她只有默默的聆聽你內心深處的低語。,你孤單的身影徘徊在雪白的月華裡，她只有默默的聆聽你內心深處的低語。,1,Sad
醒來時，望穿情緣，望斷遙遙天崖路，空留淚痕兩行，愁煞落魄斷腸人。,醒來時，望穿情緣，望斷遙遙天崖路，空留淚痕兩行，愁煞落魄斷腸人。,1,Sad
寒冷又一次降臨，那片片梧桐葉兒，飄落在那本泛黃的詩集上，覆蓋了她沉沉的哀怨。,寒冷又一次降臨，那片片梧桐葉兒，飄落在那本泛黃的詩集上，覆蓋了她沉沉的哀怨。,1,Sad
誰也不會知道被寒風襲擊過的她，是否還在在等待，因為她手裡捧著的不是白紙，而是一摞昂長的心路詩集。,邊個都唔會知被寒風襲擊過嘅佢，是否仲喺等待緊，因為佢手度捧住嘅唔係白紙，而是一哂昂長嘅心路詩集。,1,Sad
或許，今夜寂寞如煙花，瞬間的絢麗過後不再重複。,或許，今夜寂寞如煙花，瞬間嘅絢麗過後不再重複。,1,Sad
可惜，可惜啊，情如蝶，那一場道不盡的甜蜜，數不盡的心酸淚，如潮汐春水，滔滔東去，永不復回……,可惜，可惜啦，情如蝶，那一場道不盡的甜蜜，數不盡的心酸淚，如潮汐春水，滔滔東去，永不復回......,1,Sad
也許是上天被我的赤誠而打動，使我在這裡認識了很多可愛的朋友們，我的生活也因此而改變，每當想起他們，嘴角總是浮現一絲甜蜜的微笑。,也許是上天被我的赤誠而打動，使我在這裏認識了很多可愛的朋友們，我的生活也因此而改變，每當想起他們，嘴角總是浮現一絲甜蜜的微笑。,0,Happy
時間一天天過去，在某一天，卻發現往昔的歲月已不再來，他依然在，笑容已不見了蹤影。,時間一天天過去，在某一天，卻發現往昔的歲月已不再來，他依然在，笑容已不見了蹤影。,1,Sad
每次早上的問候：你好！,每次早上嘅問候：你好！,4,Neutral
也省略了，只看見冰冷的留言版，資訊發過去，總無回應，以往親切的話語和關心蕩然無存。,都省略埋，只見到冰冷嘅留言版，資訊發過去，總無回應，以往親切嘅話語和關心蕩然無存。,1,Sad
看著那一張張賀卡和信件，心碎了，美麗的夢瞬間消失，我不願相信這都是假的，當我無奈中撥通電話，電話突然中斷，最後關機時，我才醒來。,睇住一張張賀卡同信件，心碎了，靚嘅夢瞬間消失，我不願相信都係假嘅，當我無奈中撥通電話，電話突然中斷，最後關機時，我才醒來。,1,Sad
在多次的聊天中，相隔一屏，我們卻同時打出相同的字，分秒不差。,喺多次嘅聊天中，相隔屏，我哋卻同時打出相同嘅字，分秒唔差。,2,Surprise
也許我只是他人生的一段，是彼此的過客吧，他的變化使我難以接受，我的自信被突然的“暴雨”打敗了，我想放棄自己，從此消失。,也許我只是他人生的一段，是彼此的過客吧，他的變化使我難以接受，我的自信被突然的“暴雨”打敗了，我想放棄自己，從此消失。,1,Sad
漸漸的我遠離了ＱＱ，遠離了我的那些朋友，因為他的冷漠讓我失去了很多，終日沉浸在悔恨和自責中。,漸漸的我遠離了QQ，遠離了我的那些朋友，因為他的冷漠讓我失去了很多，終日沉浸在悔恨和自責中。,1,Sad
我是一個自尊心很強的女人，但是我也是一個很善良的女人，在痛苦之後，我還是選擇了原諒他人。,我係一個自尊心很強的女人，但係我都係一個好善良嘅女人，痛苦之後緊，我都係揀咗原諒他人。,1,Sad
我開玩笑的說：“旅遊”了。,我開玩笑的說：“旅遊”了。,1,Sad
其實那樣的“旅遊”是我一生中最難忘的一段，因為它傷我很深，不過，現在的我也許已經脫胎換骨了，不會再次沉淪，那樣的愛真的不值得，迷茫了好一陣，差點忽略了真正喜歡我的那些朋友們。,其實那樣的“旅遊”是我一生中最難忘的一段，因為它傷我很深，不過，現在的我也許已經脫胎換骨了，不會再次沉淪，那樣的愛真的不值得，迷茫了好一陣，差點忽略了真正喜歡我的那些朋友們。,1,Sad
這家沒有可以換那家嘛！,呢間冇可以換嗰間嘛！,3,Anger
怎麼可以空手回來呢？,點樣可以空手返嚟呢法？,3,Anger
當唱出“歌唱我們偉大的祖國”時，全球華人更是激動流淚。,當唱出“歌唱我哋偉大嘅祖國”時，全球華人更是激動流淚。,0,Happy
客觀講，林妙可還在父母的庇護下小心翼翼的成長。,客觀講，林妙可仲喺父母嘅庇護下小心翼翼嘅成長。,0,Happy
為何說小心翼翼？,為何說小心翼翼？,4,Neutral
完美是每個人追求的目標，為了使自己在別人面前能夠更突出，大家都在盡情地表現自己最優秀的一面，偽裝自己的憂愁，偽裝自己的痛苦，偽裝自己的過去．．．．．．我們看到的是陽光的自己，充滿活力的個人形象。,完美是每個人追求的目標，為了使自己在別人面前能夠更突出，大家都在盡情地表現自己最優秀的一面，偽裝自己的憂愁，偽裝自己的痛苦，偽裝自己的過去...... 我哋睇到嘅係陽光嘅自己，充滿活力嘅個人形象。,1,Sad
其實在那一張張假面具下，人們都在追求一種永恆，在不斷的努力中，向永恆靠近。,其實在那一張張假面具的，人們都在追求一種永恆，在不斷的努力中，向永恆靠近。,1,Sad
愛情也是如此，當幕布拉起，在那七彩燈的光環下，每個戀愛中的人都戴著不同的可愛的面具，扮演著自己的角色。,愛情也是如此，當幕布拉起，喺七綵燈嘅光環的，個個戀愛中嘅人都戴住不同嘅得意嘅面具，扮演住自己嘅角色。,1,Sad
當有一天，摘下了那張假面具，也許面具下依然是陽光般燦爛的臉龐、親切的笑容，也許你看到的是不盡人意的冷酷，意想不到的改變，常常令人痛苦不堪。,當有一日，摘下了張假面具，或者面具的依然係陽光般燦爛嘅臉龐、親切嘅笑容，或者你睇到嘅係不盡人意的冷酷，意想不到嘅改變，成日令人痛苦不堪。,1,Sad
此時也是如此，想念，穿過這靜靜的淒涼的黑夜，在我心頭慢慢蔓延開來。,此時也是如此，想念，穿過這靜靜的淒涼的黑夜，在我心頭慢慢蔓延開來。,1,Sad
你不在身邊的孤單還在心裡糾纏，囚禁回憶。,你不在身邊的孤單仲喺心糾纏，囚禁回憶。,1,Sad
我知道，你能看到我留在螢幕上的字，卻看不到我滴在鍵盤上的淚。,我知道，你能看到我留喺螢幕上嘅字，卻睇唔到我滴喺鍵盤上嘅淚。,1,Sad
你不會象此時的我，如此的清醒，沒有半點的睡意，在音樂裡想念著你。,你唔會象此時嘅我，如此嘅清醒，冇半點嘅睡意，喺音樂度掛住住你。,1,Sad
我靜靜的閉著眼睛，任憑陣陣寒流親吻冰涼的身軀。,我靜靜的閉著眼睛，任憑陣陣寒流親吻冰涼的身軀。,0,Happy
我知道你不會把我遺忘，也不會拋棄我獨自飛翔。,我知你唔會將我遺忘，都唔會飛我獨自飛翔。,0,Happy
而現在，那份快樂已不會再出現。,而而家，份快樂已唔會再出現。,1,Sad
每每回想起，淚水便會一滴一滴的輕輕灑落在我的心上，有點痛。,每每回想起，淚水面會一滴一滴嘅輕輕灑落喺我的心上，有點痛。,1,Sad
面對你，我只能憑藉文字發洩自己積累許久的思念和哀愁。,面對你，我只能憑藉文字發洩自己積累許久嘅思念同哀愁。,1,Sad
曾幻想過的夢，已在淚水中埋沒。,曾幻想過嘅夢，已在淚水中埋沒。,1,Sad
現如今，我只能默默接受痛苦的折磨。,現如今，我只能默默接受痛苦折磨。,1,Sad
有誰明瞭，愛一個人，思念一個人，卻不能訴說的痛苦的滋味？,有誰明瞭，愛一個人，思念一個人，卻不能訴說的痛苦滋味？,1,Sad
我只能把這份不能愛的愛，深藏心底，我只能這樣靜靜的去品其中的酸甜苦辣。,我只能將呢份唔可以愛的愛，深藏心底，我只能這樣靜靜的去品其中嘅痠甜苦辢。,1,Sad
為什麼緣和份相距那麼遠？,做乜嘢緣同份相距咁遠？,1,Sad
為什麼我的心會這麼疼？,做乜嘢我心會咁痛？,1,Sad
為什麼在這個收穫的季節，你要悄無聲息的離開？,點解喺呢個收穫嘅季節，你要悄無聲息嘅離開？,1,Sad
為什麼……,點解......,1,Sad
所有的希望和等待都已被現實的條條框框所束縛，所有的熾熱都被無緣的藉口擋回。,所有嘅希望同等待都已被現實嘅條條框框所束縛，所有嘅熾熱都被無緣嘅藉口擋回。,1,Sad
我只能眼睜睜的看著這份無緣的愛，在習習晚風中漂浮，我只能孤苦伶仃的遊弋在夜深人靜某一個角落獨自神傷。,我只能眼睜睜的看著這份無緣的愛，在習習晚風中漂浮，我只能孤苦伶仃的遊弋在夜深人靜某一個角落獨自神傷。,1,Sad
我好象什麼也做不了。,我好象乜嘢都做不了。,1,Sad
我深深的知道，生活的殘酷，現實的無奈，誰都無力改變，更重要的是，我錯愛上了一個不該愛的人。,我深深的知道，生活嘅殘酷，現實嘅無奈，邊個都無力改變，更重要嘅係，我錯愛上了一個不該愛的人。,1,Sad
愛，不能說；想，不能見，只能悄悄的把那份能愛卻不敢愛的愛深藏心中。,要，不能說; 想，不能見，只能悄悄嘅把那份能愛卻不敢愛的愛深藏心中。,1,Sad
哈，原來我竟是如此的虛偽，如此的冷酷呢！,哈，原來我竟昰如此嘅虛偽，如此嘅冷酷呢！,1,Sad
我需要在夢裡長眠，我需要在夢裡去忘記所有的一切！,我需要在夢裡長眠，我需要在夢裡去忘記所有嘅一切！,1,Sad
因為我還要去面對每一天的生活，因為我還要呼吸，因為我無法去承受太多的惆悵，因為我無法去承擔太多的傷痕，因為……因為……,因為我還要去面對每一天的生活，因為我還要呼吸，因為我無法去承受太多的惆悵，因為我無法去承擔太多的傷痕，因為...... 因為......,1,Sad
此刻，我的心已無法平靜，我的思緒在憂傷裡飛翔，我的手在抖動，因為思念太沉重！,此刻，我的心已無法平靜，我的思緒在憂傷裡飛翔，我的手在抖動，因為思念太沉重！,1,Sad
在一個個寂寞憂愁的深夜裡，只有孤單的一個人，黯然落淚，心碎無痕！,喺一個個寂寞憂愁嘅深夜度，只有孤單嘅一個人，黯然落淚，心碎無痕跡！,1,Sad
此時的夜，一片漆黑。,此時嘅夜，一片漆黑。,1,Sad
欣慰的是，經歷過這次感情上的洗禮，鞭策著我在事實裡漸漸長大。,欣慰嘅係，經歷過今次感情上嘅洗禮，鞭策住我喺事實度漸漸長大。,0,Happy
激情的歲月，伴隨著時光流逝，曾經的美好，只能在夢裡相望。,激情嘅歲月，伴隨住時光流逝，試過嘅美好，只能在夢裡相望。,1,Sad
靜數自己走過的軌跡，經歷的風景線，卻不知道，自己傷過多少人的心，多少人又刺痛過我的情。,靜數自己行過嘅軌跡，經歷嘅風景綫，卻唔知，自己傷過幾多人嘅心，幾多人又刺痛過我嘅情。,1,Sad
只知道，當寂寞襲來的時候，只能泡在歌曲裡悄然哭泣，和著鍵盤訴說心語，書寫心底的憂傷，寄予快樂的希望。,淨係知，當寂寞襲嚟嘅時候，只能浸喺歌曲度悄然哭泣，同住鍵盤訴說心語，書寫心底嘅憂傷，寄予快樂嘅希望。,1,Sad
或許，我的柔情、我的憂傷、我的真誠、我的憔悴，只有夜知道。,或許，我嘅柔情、我嘅憂傷、我嘅真誠、我嘅憔悴，只有夜知道。,1,Sad
或許，也只有文字懂得我如水的清愁，時刻伴我濕潤的雙眸，在靜夜裡，用我的幽幽情思，碼下一篇篇傷感文字。,或許，都只有文字識得我如水嘅清愁，時刻伴我濕潤嘅雙眸，靜夜裡緊，用我嘅幽幽情思，碼下一篇篇傷感文字。,1,Sad
而如今，卻無奈著，隨秋風片片飄落。,而如今，卻無奈住，隨秋風片片飃落。,1,Sad
春去春又來，花開花又謝，幸福的人，在花間閑踱；傷感的人，在花間留戀往返，心卻亂，只落個花成殘，淚水浸透哀怨。,春去春又嚟，花開花又謝，幸福嘅人，花間閑踱緊; 傷感的人，在花間留戀往返，心卻亂，只落個花成殘，淚水浸透哀怨。,1,Sad
歌曲嫋繞，夜色淒豔凝雙淚，吟唱著思念的悲歌，守侯著舊時的片段，像連綿不斷的絲，情思幽幽，淒淒美美，朝雲暮雨，誰給我些許的溫暖？,歌曲嫋繞，夜色淒艷凝雙淚，吟唱著思念的悲歌，守侯著舊時的片段，像連綿不斷的絲，情思幽幽，淒淒美美，朝雲暮雨，誰給我些許的溫暖？,1,Sad
窗外夜沉沉，如冰淒涼。,窗外夜沉沉，如冰淒涼。,1,Sad
纏綿在眉間的愛已遠離，怎樣才有幸福的期待，讓愛的囈語，在窗前飛舞，在我憔悴的面上縱橫？,纏綿在眉間的愛已遠離，怎樣才有幸福的期待，讓愛的孑語，在窗前飛舞，在我憔悴的面上縱橫？,1,Sad
緩緩流淌的淚水，依舊有綿綿如水的思念，只為我暗香浮動千千萬，醉臥心間。,緩緩流淌的淚水，依舊有綿綿如水的思念，只為我暗香浮動千千萬，醉臥心間。,1,Sad
晚風習習惹淚眼，朦朧散落一片，隨風輕舞。,晚風習習惹淚眼，朦朧散落一片，隨風輕舞。,1,Sad
融身於孤單的月，都是撲天蓋地的思念。,融身於孤單嘅月，都係撲天蓋地嘅思念。,1,Sad
輕輕一歎，遙問明月，情為何如此殘缺？,輕輕一嘆，遙問明月，情為何如此殘缺？,1,Sad
讓我空對藍屏淚點點，對影獨酌，訴說柔柔哀怨。,讓我空對藍屏淚點點，對影獨酌，訴說柔柔哀怨。,1,Sad
感情象一杯酒，有時濃烈有時哀愁。,感情象一杯酒，有時濃烈有時哀愁。,1,Sad
但求上帝，別讓我一個人在這裡傷悲，別讓我一個人喝這杯濃烈的寂寞之酒，別讓我一個人在歲月裡沉醉。,但求上帝，唔好畀我一個人喺呢度傷悲，唔好畀我一個人飲杯濃烈嘅寂寞之酒，唔好畀我一個人喺歲月度沉醉。,1,Sad
我是堅強的，因為四季是我的心情。,我係堅強嘅，因為四季係我嘅心情。,0,Happy
走過歲月的滄桑，走過憂鬱的年輪，漸漸的長大。,行過歲月的滄桑，行過憂鬱嘅年輪，漸漸嘅大個。,0,Happy
如此的漫長幹線，不同的人，不同的環境，造就了不同的心靈色彩。,如此嘅漫長幹線，不同嘅人，不同嘅環境，造就咗不同嘅心靈色彩。,4,Neutral
白晝的狂躁和匆忙，夜晚的消沉和無奈，有多少人停留在歎息的分分秒秒中，讓輝煌都望而卻步。,白晝的狂躁和匆忙，夜晚的消沉和無奈，有多少人停留在嘆息的分分秒秒中，令輝煌都望而卻步。,1,Sad
我愛藍天，總會在失落和困惑的時候，抬頭望望天空，心情就自然開朗。,我要藍天，總會失落和困惑緊嘅時候，抬頭望望天空，心情就自然開朗。,0,Happy
當我欣喜若狂與自己的得到時，花瓣卻開始了凋零，愛的影子逐漸模糊。,當我欣喜若狂與自己的得到時，花瓣卻開始了凋零，愛的影子逐漸模糊。,1,Sad
也許這是上天的捉弄，也許這樣的喜好並非屬於我，夢中的那片桃花成了回憶。,或者係上天嘅捉弄，或者噉嘅喜好並非屬於我，夢中嘅片桃花成了回憶。,1,Sad
無助的眼淚滴在散落的花瓣中，如此的捨不得讓我倍感憂傷。,無助嘅眼淚滴喺散落嘅花瓣中，如此嘅捨不得令我倍感憂傷。,1,Sad
愛和不愛我都無法抉擇，只因自己在局外彷徨，孤單的飛翔。,愛和唔愛我都無法抉擇，只因自己喺局外彷徨，孤單嘅飛翔。,1,Sad
我的表弟，王俊，天津寧河縣北淮澱派出所的一位民警。,我嘅表弟，王俊，天津寧河縣北淮澱派出所嘅一位民警。,4,Neutral
那天晚上，表弟接到報警電話，潛逃的犯罪嫌疑人出現了，他和他的同事出發了。,嗰晚，表弟接到報警電話，潛逃嘅犯罪嫌疑人出現了，佢同佢嘅同事出發了。,4,Neutral
他堅持不住了，倒在了正在驚詫的醫生面前。,佢堅持不住了，倒在了驚詫緊嘅醫師面前。,1,Sad
永遠的倒下了，時間定格在８時０６分。,永遠嘅倒下了，時間定格喺8時06分。,1,Sad
他就這麼的走了，永遠的走了，臨走的時候沒有留下一句話，年輕的生命就這樣逝去了。,佢就咁嘅走咗，永遠嘅走咗，臨走嘅時候冇留低一句說話，後生嘅生命就這樣逝去了。,1,Sad
看到年輕的生命化作一縷青煙，我們知道，從此我們永別了。,睇到後生嘅生命化作一縷青煙，我哋知道，從此我哋永別了。,1,Sad
王俊，你可知道，你的犧牲讓家人悲痛欲絕，父母為你哭幹了眼淚，你新婚不久的妻子為你心都碎了，戰友為你熬紅了眼，朋友為你徹夜難眠，熱心人百里趕來為你送行……,王俊，你可知道，你的犧牲讓家人悲痛欲絕，父母為你哭幹了眼淚，你新婚不久的妻子為你心都碎了，戰友為你熬紅了眼，朋友為你徹夜難眠，熱心人百里趕來為你送行......,1,Sad
其實，王俊並不是我的親表弟，他是我愛人的表弟，今年２５歲。,其實，王俊並不昰我嘅親表弟，佢係我愛人嘅表弟，今年25歲。,4,Neutral
後來，我愛人考上了成都的一所重點大學，從本科一直上到了博士，現在留在了成都。,後來，我愛人考上咗成都嘅一所重點大學，由本科一直上到了博士，而家留喺咗成都。,4,Neutral
第一次見表弟是２００１年的夏天，我第一次到愛人老家去。,第一次見表弟係2001年嘅夏天，我第一次到愛人老家去。,4,Neutral
”隨即像沒事兒似的走開了。,“隨即像沒事兒似的走開了。,4,Neutral
最近一次見表弟是在今年１月初，我和愛人結婚回門兒的時候。,最近一次見表弟係喺今年1月初，我同愛人結婚回門兒嘅時候。,4,Neutral
當電話那頭噩耗傳來的時候，我忍不住哽咽，愛人更是哭得死去活來，完全忘記了自己還是個孕婦。,當電話那頭噩耗傳來的時候，我忍不住哽咽，愛人更是哭得死去活來，完全忘記了自己還是個孕婦。,1,Sad
這麼體格強壯，善良，正直的一個人，就這樣離我們遠去，這樣的結果，這樣的現實，叫人怎麼能夠接受？,咁體格強壯，善良，正直嘅一個人，就這樣離我哋遠去，咁樣嘅結果，噉嘅現實，叫人點能夠接受法？,1,Sad
由於愛人身體的原因，我們沒能去送送表弟，只能以此文來紀念他。,由於愛人身體嘅原因，我哋冇能去送送表弟，只能以此文嚟紀念佢。,1,Sad
小平看到小葉的眼光仍停留在那家服裝店，從那裡經過，毫不掩飾眼中的依戀，小平的心一緊，有一種無盡的傷感。,小平看到小葉的眼光仍停留在那家服裝店，從那裡經過，毫不掩飾眼中的依戀，小平的心一緊，有一種無盡的傷感。,1,Sad
小葉曾經心軟過，給他機會，他沒有把握，以為霸王主義能使小葉屈服，小葉就是不吃這一套，甚至到了躲他的地步，弄得他來家追，小葉仍不見他，幾個回合下來，大家都放出狠話，誰也不理誰。,小葉曾經心軟過，畀佢機會，佢冇把握，以為霸王主義能使小葉屈服，小葉就係唔食一套，甚至到了躲他的地步，攪到佢嚟屋企追，小葉仍唔見佢，幾個回合落嚟，大家都放出狠話，邊個都唔睬邊個。,3,Anger
小葉也寒了心，終於和小老闆分了手，親戚把她介紹給小平，她感覺小平哪方面都好，忠厚，老實，善良，有時候還得聽她的，卻心中總覺得有些失落，沒有魄力，沒有男人味。,小葉都寒埋心，終於同小老闆分咗手，親戚把她介紹畀小平，佢感覺小平哪方面都好，忠厚，老實，善良，有時候仲到聽她的，卻心中總覺得有些失落，冇魄力，冇男人味。,1,Sad
小平立刻感到一種溫暖，心軟了下來，怒氣煙消雲散，兩人開開心心地往回走去。,小平立刻感到一種溫暖，心軟了下來，怒氣煙消雲散，兩人開開心心地往回走去。,0,Happy
也許我真的只是那瞬間的寵兒，只是一個很短很短的短暫。,或者我真係只係瞬間嘅寵兒，只係一個好短好短嘅短暫。,1,Sad
親愛的，我只給你帶來了那一點點的潤澤，不會有更多的滋潤，但是我是用生命的全部走進了你。,親愛的，我只畀你帶嚟咗少少嘅潤澤，唔會有更多嘅滋潤，但係我係用生命嘅全部走進了你。,0,Happy
博大的水美使你滿足了可望，我只是你瞬間的欣喜。,博大嘅水美使你滿足了可望，我只係你瞬間嘅欣喜。,1,Sad
在你魂飛夢牽盼望著博大水美的時候，你可能早已把我這微小的晶瑩忘記得一乾二淨，因為我只是一個瞬間的渺小。,在你魂飛夢牽盼望著博大水美的時候，你可能早已把我這微小的晶瑩忘記得一乾二淨，因為我只是一個瞬間的渺小。,1,Sad
因為我渺小所以短暫，因為我只有那一點點的晶瑩，沒有那雪月的磅礴，所以我只是在那個一切的瞬間走向死亡，沒有給人們留下一點點回憶。,因為我渺小所以短暫，因為我只有一點點的晶瑩，沒有那雪月的磅礴，所以我只是在那個一切的瞬間走向死亡，沒有給人們留下一點點回憶。,1,Sad
用全部給予了最愛，沒有留下遺憾。,用全部給予了最愛，冇留低遺憾。,0,Happy
靜靜地走上了死亡之路，我只是一顆剔透的晶瑩的雪花，宛如塵埃一樣，永遠不會有人記住我什麼時來什麼時去，只有可能的文字中有著我那一點點地記錄。,靜雞雞走上了死亡之路，我只係一粒剔透嘅晶瑩嘅雪花，宛如塵埃一樣，永遠唔會有人記住我乜嘢時嚟乜嘢時去，只有可能嘅文字中有著我少少咁記錄。,1,Sad
被朋友責問到為什麼前兩次約我都不出來，其實要不是昨天是朋友生日，估計他她們要在四月初以後才能見到我。,被朋友責問到點解前兩次約我都唔出嚟，其實要不是琴日係朋友生日，估計佢佢哋要喺四月初以後才能見到我。,3,Anger
朋友說對了一半，但主要還是因為自己最近心情一直不佳，不想影響到他們。,朋友說對了一半，但主要都係因為自己最近心情一直不佳，唔想影響到佢哋。,1,Sad
朋友給我的一句話，讓我突然反醒。,朋友畀我嘅一句說話，令我突然反醒。,4,Neutral
剛好我哥經常會從香港帶一些藥回來備用，問了我哥那邊說還有一瓶。,剛好我哥經常會由香港帶一些藥回來備用，問咗我哥嗰邊話仲有一瓶。,4,Neutral
就跟朋友說我先給他郵過去用著。,就同朋友話我先畀佢郵過去用住。,4,Neutral
可是再回想一下，被我幫過的朋友，有哪一個真的能夠像我一樣的對我的，真的沒有，都是失去聯繫或不怎麼聯繫了。,但再回想一下，畀我幫過嘅朋友，有哪一個真的能夠像我一樣嘅對我嘅，真係冇，都係失去聯繫或唔係幾聯繫咗。,1,Sad
更多的都是因為發現我沒有能力再幫下去以後開始疏遠我。,更多嘅都係因為發現我冇能力再幫落去以後開始疏遠我。,1,Sad
可我心痛的不是別人不能像我一樣的對我，我心痛的是我總是因為別人而連累了自己身邊的人。,可我心痛嘅唔係人唔可以好似我一樣嘅對我，我心痛嘅係我成日因為人而連累咗自己身邊嘅人。,1,Sad
往往幫我的人又是我從來沒為她們做過什麼的。,往往幫我嘅人又係我從來冇為佢哋做過乜嘢嘅。,1,Sad
儘管在ＨＴ公司的時候，同事和鄰導對我的工作都很認可，我的業績也一直都不錯。,儘管喺HT公司嘅時候，同事同鄰導對我嘅工作都好認可，我嘅業績都一直都唔錯。,0,Happy
只有我知道那都是發自肺腑的話，只有我知道其中的心酸。,只有我知都係逕自肺腑徜徉，只有我知其中嘅心酸。,1,Sad
”我毫不猶豫的就給他一個答案：“如果真的可以再為對方付出的時候，我會離開。,“我毫不猶豫的就給他一個答案：”如果真的可以再為對方付出的時候，我會離開。,1,Sad
我不知道我為什麼會是那樣的答案，但我知道我真的會離開。,我唔知我點解會係噉嘅答案，但我知我真係會離開。,1,Sad
在我給不了我愛的人什麼的時候，我會認為我的存在也已經是毫無意義了。,我畀唔到我愛的人乜嘢緊嘅時候，我會認為我嘅存在都已經係毫無意義埋。,1,Sad
我不是不計較，而是不讓自己去計較。,我唔係唔計較，而是唔畀自己去計較。,1,Sad
我沒有你們想像的高尚和偉大。,我冇你哋想像嘅高尚同偉大。,1,Sad
我就這麼一個人，不管怎麼變還是這麼一個人。,我就咁一個人，唔理點變都係咁一個人。,1,Sad
相反的，這些傷害只會讓我成長，讓我變得越來越強大。,相反嘅，呢啲傷害只會令我成長，令我變得越嚟越強大。,0,Happy
其實很多事我明明知道明明懂得，但我還是要去飛蛾撲火。,其實好多事我明明知道明明懂得，但我還是要去飛蛾撲火。,1,Sad
２００８年５月１２日１４：２８分，大地母親一次不經易的抖動使全世界華人的目光定格在中國四川。,2008年5月12日14：28分，大地母親一次不經易的抖動使全世界華人的目光定格在中國四川。,4,Neutral
霎時間，天府成地獄，俊秀遍創痍。,霎時間，天府成地獄，俊秀遍創痍。,1,Sad
望著電視機裡倒塌的樓房，哭泣的孩子，聲嘶力竭的呼喊著親人名字的人們，我的心被震痛了，震碎了。,看著電視機裡倒塌的樓房，哭泣的孩子，聲嘶力竭的呼喊著親人名字的人們，我的心被震痛了，震碎了。,1,Sad
那一刻，美好的家園瞬間一片狼藉，幸福的生活轉眼間成為了夢幻泡影，甜蜜的笑容被淚水和鮮血取代。,一刻，美好嘅家園瞬間一片狼藉，幸福嘅生活轉眼間成為了夢幻泡影，甜蜜嘅笑容被淚水和鮮血取代。,1,Sad
那一刻，活著成為了最大的幸福。,一刻，活著成為咗最大嘅幸福。,0,Happy
那一刻，孩子的笑聲消失了，天堂裡傳來了找尋媽媽的哭聲，天堂裡應該沒有哭聲的，難道那裡的你們正在為下界的蒼生哭泣？,一刻，仔嘅笑聲消失了，天堂裡傳來了找尋媽媽的哭聲，天堂度應該冇哭聲嘅，唔通嗰度嘅你哋為下界嘅蒼生哭泣緊？,1,Sad
”　他的聲音擲地有聲的鼓舞著所有廣大解放軍戰士，使一位又一位的傷患在廢墟裡學會了堅強。,“他的聲音擲地有聲嘅鼓舞住所有廣大解放軍戰士，要一位又一位嘅傷員在廢墟度學識咗堅強。,0,Happy
這一刻又是解放軍，就像九八年的特大洪水一樣，他們背著物資給養奔赴災區，路面塌方擋住了車輪卻擋不住戰士們前進的腳步；殘垣斷壁壓得住人民的肉體，卻永遠壓不垮中國人民不屈的脊樑。,一刻又係解放軍，就好似九八年嘅特大洪水一樣，佢哋孭住物資畀養奔赴災區，路面塌方擋住了車轆卻擋不住戰士們前進嘅腳步; 殘垣斷壁壓得住人民嘅肉體，卻永遠壓不垮中囯人民不屈嘅脊樑。,0,Happy
那一刻，我感受到了愛，我們這個人間有愛，我們這個國家充滿愛。,一刻，我感受到了愛，我哋呢個人間有要，我哋呢個國家充滿愛。,0,Happy
在短時間內便集結了大量的人力，物力，財力投放到災區救援中去。,喺短時間內面集結咗大量嘅人力，物力，財力投放到災區救援中去。,0,Happy
國之殤，永難忘。,國之為者，永難忘。,1,Sad
因為我們相信我們的身後有一個強大的祖國。,因為我哋信我哋嘅身後有一個強大嘅祖國。,0,Happy
（８月１１日搜狐體育）,（ 8月11日搜狐體育）,4,Neutral
